id,name,party,photoUrl,website
,"Pauli Aalto-Setälä

",Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2023/04/PAULI_AALTO-SETALA-7-349x233.jpg,
,Heikki Autto,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2019/04/signal-2024-03-20-215404_004-349x524.jpeg,
,Maaret Castrén,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2024/08/Maaret-Castren-057-349x233.jpg,
,Markku Eestilä,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/05/Eestila-Markku-34-349x210.jpg,
,Noora Fagerström,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2023/04/NOORA-FAGERSTROM-38-349x233.jpg,
,Sanni Grahn-Laasonen,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/05/SANNI-GRAHN-LAASONEN-20-349x233.jpg,
,Janne Heikkinen,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2019/04/Heikkinen-Janne-51-349x234.jpg,
,Timo Heinonen,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/05/Nettikokoinen_TIMO_HEINONEN_260618_8.jpg-473x315.jpg,
,Antti Häkkänen,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/05/Nettikokoinen_ANTTI_HAKKANEN_241017_179-349x233.jpg,
,Juha Hänninen,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2023/04/JUHA-HANNINEN-28-349x233.jpg,
,Anna-Kaisa Ikonen,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2019/04/ANNA-KAISA-IKONEN-8-1-349x233.jpg,
,Janne Jukkola,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2023/04/JANNE-JUKKOLA-37-349x233.jpg,
,Aleksi Jäntti,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2023/04/ALEKSI-JANTTI-45-349x233.jpg,
,Atte Kaleva,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2021/11/KalevaAtte48-349x233.jpg,
,Pia Kauma,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/06/Kauma-Pia-27-1-349x233.jpg,
,Ville Kaunisto,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2019/04/VILLE_KAUNISTO-56-349x233.jpg,
,Mari Kaunistola,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2023/04/MARI-KAUNISTOLA-12-349x233.jpg,
,Pihla Keto-Huovinen,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2019/04/Nettikokoinen_PIHLA_KETO_HUOVINEN_020719_21.jpg-473x315.jpg,
,Marko Kilpi,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2019/04/Nettikokoinen_MARKO_KILPI_270619_34.jpg-473x315.jpg,
,Teemu Kinnari,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2023/04/TEEMU-KINNARI-89-349x233.jpg,
,Pauli Kiuru,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/06/PAULI_KIURU-58-349x233.jpg,
,Jukka Kopra,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/05/JUKKA-KOPRA-2025-RYHMAHUONE-07-e1770043996489-349x261.jpg,
,Terhi Koulumies,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2019/04/Nettikokoinen_TERHI_KOULUMIES_270619_14.jpg-473x315.jpg,
,Milla Lahdenperä,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2023/04/MILLA-LAHDENPERA-80-349x233.jpg,
,Mia Laiho,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/06/Nettikokoinen_MIA_LAIHO_21-349x233.jpg,
,Jarno Limnell,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2023/04/JARNO-LIMNELL-22-349x233.jpg,
,Jarmo Lindberg,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2023/04/JARMO-LINDBERG-69-349x233.jpg,
,Matias Marttinen,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2019/04/Matias-Marttinen-349x233.jpg,
,Sari Multala,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/06/SARI-MULTALA-14-349x233.jpg,
,Petteri Orpo,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/05/Nettikokoinen_PETTERI_ORPO_210817_191.jpg-473x315.jpg,
,Martin Paasi,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2024/08/Martin-Paasi-4-349x233.jpg,
,Karoliina Partanen,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2023/04/KAROLIINA-PARTANEN-11-349x233.jpg,
,Susanne Päivärinta,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2023/04/Susanne-Paivarinta-006-349x233.jpg,
,Paula Risikko,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/06/Nettikokoinen_PAULA_RISIKKO_9.jpg-472x315.jpg,
,Tere Sammallahti,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2023/04/TERE-SAMMALLAHTI-21-349x233.jpg,
,Sari Sarkomaa,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/06/Nettikokoinen_SARKOMAA_SARI_160818_144.jpg-473x315.jpg,
,Arto Satonen,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/06/ARTO-SATONEN-23-349x233.jpg,
,Saara-Sofia Sirén,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/06/SAARA-SOFIA-SIREN-13-1-349x233.jpg,
,Mari-Leena Talvitie,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/06/MARI-LEENA-TALVITIE-18-1-349x233.jpg,
,Ville Valkonen,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2021/03/VilleValkonen-virallinen-lowres_dda69ee6-b680-420c-a6eb-cf89d7623f37-349x233.jpg,
,Oskari Valtola,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2023/04/OSKARI-VALTOLA-18-349x233.jpg,
,Elina Valtonen,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2022/02/ValtonenElina74-349x233.jpg,
,Heikki Vestman,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2019/04/HEIKKI-VESTMAN-12-349x233.jpg,
,Sofia Vikman,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/06/2025_Vikman-Sofia-14-349x233.jpg,
,Henrik Vuornos,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2019/08/Vuornos_Henrik-18-349x233.jpg,
,Ville Väyrynen,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2023/04/VILLE-VAYRYNEN-61-349x233.jpg,
,Sinuhe Wallinheimo,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/06/Wallinheimo-Sinuhe-56-349x233.jpg,
,Ben Zyskowicz,Kokoomus,https://www.kokoomus.fi/wp-content/uploads/2018/05/BEN-ZYSKOWICZ-4-349x233.jpg,
,Marko Asell,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/marko-asell.jpeg,
,Kim Berg,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/kim-berg.jpeg,
,Eeva-Johanna Eloranta,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/eeva-johanna-eloranta.jpeg,
,Seppo Eskelinen,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/seppo-eskelinen-640x640.jpeg,
,Tarja Filatov,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/tarja-filatov.jpeg,
,Elisa Gebhard,SDP,https://www.sdp.fi/app/uploads/sites/2/2023/09/gebhard_elisa-e1695213245766-640x640.jpg,
,Tuula Haatainen,SDP,https://www.sdp.fi/app/uploads/sites/2/2023/09/tuula-haatainen-1-640x640.png,
,Lotta Hamari,SDP,https://www.sdp.fi/app/uploads/sites/2/2023/10/hamari-lotta-e1697796507894-640x640.jpg,
,Timo Harakka,SDP,https://www.sdp.fi/app/uploads/sites/2/2022/11/timo-harakka.jpeg,
